NOME;LONGITUDE;LATITUDE;MAIS_SECO
PRINCIPE DA BEIRA;-64,4225;-12,426944;JUNHO-JULHO-AGOSTO
COLORADO DO OESTE;-60,548333;-13,114167;JUNHO-JULHO-AGOSTO
CEREJEIRA;-60,823333;-13,196667;JUNHO-JULHO-AGOSTO
PIMENTEIRAS;-61,046389;-13,479722;JUNHO-JULHO-AGOSTO
PONTES E LACERDA;-59,353611;-15,215556;JUNHO-JULHO-AGOSTO
MATO GROSSO;-59,949167;-15,0075;JUNHO-JULHO-AGOSTO
FAZENDA AREI+O;-60,031667;-15,400278;JUNHO-JULHO-AGOSTO
BARRO DURO;-42,309444;-2,894444;SETEMBRO-OUTUBRO-NOVEMBRO
SAO BENTO;-44,823333;-2,701111;SETEMBRO-OUTUBRO-NOVEMBRO
IGUARA;-43,873611;-3,553611;AGOSTO-SETEMBRO-OUTUBRO
NINA RODRIGUES;-43,898889;-3,459444;AGOSTO-SETEMBRO-OUTUBRO
MUNIM;-43,708611;-3,595278;AGOSTO-SETEMBRO-OUTUBRO
MATA ROMA;-43,112222;-3,625833;AGOSTO-SETEMBRO-OUTUBRO
BREJO DO MEIO;-43,501111;-3,926111;AGOSTO-SETEMBRO-OUTUBRO
GONCALO;-43,236389;-3,044167;AGOSTO-SETEMBRO-OUTUBRO
CANTANHEDE;-44,376389;-3,6325;JULHO-AGOSTO-SETEMBRO
PIRITORO;-44,287222;-3,706389;JULHO-AGOSTO-SETEMBRO
PEDRAS;-44,0175;-3,943611;JULHO-AGOSTO-SETEMBRO
PRESIDENTE JUSCELINO;-44,064167;-2,927222;SETEMBRO-OUTUBRO-NOVEMBRO
SAO MATEUS DO MARANHAO;-44,466667;-3,983333;JULHO-AGOSTO-SETEMBRO
MIRANDA;-44,583333;-3,566667;JULHO-AGOSTO-SETEMBRO
LAGO ACU;-44,833333;-3,766667;JULHO-AGOSTO-SETEMBRO
ARATOI GRANDE (PCD-SIVAM);-45,218333;-3,770833;JULHO-AGOSTO-SETEMBRO
PINDARE-MIRIM (PCD-SIVAM);-45,443056;-3,658333;AGOSTO-SETEMBRO-OUTUBRO
BOA VISTA DO PINDARE;-45,010556;-3,402778;AGOSTO-SETEMBRO-OUTUBRO
NEWTON BELO;-45,669444;-3,424444;AGOSTO-SETEMBRO-OUTUBRO
TUCUMA;-46,178889;-4,231389;JULHO-AGOSTO-SETEMBRO
CODO (PCD-SIVAM);-43,876667;-4,458611;JULHO-AGOSTO-SETEMBRO
FAZENDA SOBRAL;-43,925833;-4,467222;JULHO-AGOSTO-SETEMBRO
PALMEIRA DO NORTE;-43,645556;-4,418056;AGOSTO-SETEMBRO-OUTUBRO
ALDEIAS ALTAS;-43,468333;-4,626111;JULHO-AGOSTO-SETEMBRO
COROATA;-44,165833;-4,162778;JULHO-AGOSTO-SETEMBRO
PEDREIRAS II;-44,605;-4,570278;JULHO-AGOSTO-SETEMBRO
SANTA VITORIA;-44,894167;-4,951667;JULHO-AGOSTO-SETEMBRO
PIRITORO BR-316;-44,333333;-4,375;JULHO-AGOSTO-SETEMBRO
ESPERANTINA;-45,271111;-4,031111;JULHO-AGOSTO-SETEMBRO
ANGICO;-45,180556;-4,742778;JULHO-AGOSTO-SETEMBRO
ARAME;-46,011389;-4,886389;JULHO-AGOSTO-SETEMBRO
LAGO DA PEDRA;-45,125556;-4,560556;JULHO-AGOSTO-SETEMBRO
SAO JOAO DO GRAJAU;-45,358056;-4,240556;JULHO-AGOSTO-SETEMBRO
PONTE BR-222 (PCD-SIVAM);-46,493611;-4,304167;JULHO-AGOSTO-SETEMBRO
